,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
0,https://www.goodreads.com/book/show/2767052-the-hunger-games,The Hunger Games,Suzanne Collins,4.32,175519,6686391,374,2008,The Hunger Games #1,"['Young Adult', 'Fiction', 'Science Fiction']","['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)\n...more\nBooks I Loved Best Yearly (BILBY) Awards for Older Readers (2012)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older Readers & Overall (2010)"", 'South Carolina Book Award for Junior and Young Adult Book (2011)', 'Charlotte Award (2010)', 'Colorado Blue Spruce Young Adult Book Award (2010)', 'Teen Buckeye Book Award (2009)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", 'Rhode Island Teen Book Award (2010)', ""Dorothy Canfield Fisher Children's Book Award (2010)"", 'Evergreen Teen Book Award (2011)', 'Soaring Eagle Book Award (2009)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal for Middle School Book (2010)', 'Michigan Library Association Thumbs Up! Award (2009)', 'Florida Teens Read (2009)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', ""Rebecca Caudill Young Readers' Book Award (2011)"", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)\n...less']","District 12, Panem  Capitol, Panem  Panem  (United States)"
1,https://www.goodreads.com/book/show/40961427-1984,1984,George Orwell,4.19,76013,3363320,237,1949,,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']","London, England, 1984  (United Kingdom)"
2,https://www.goodreads.com/book/show/3636.The_Giver,The Giver,Lois Lowry,4.13,67054,1885622,208,1993,The Giver  #1,"['Young Adult', 'Fiction', 'Classics']","['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)\n...more\nGrand Canyon Reader Award for Teen Book (1995)"", 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995)', 'Golden Sower Award for Young Adult (1995)', ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995)"", 'Soaring Eagle Book Award Nominee (1996)', ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996)"", 'Boston Globe-Horn Book Award Nominee for Fiction (1993)', 'New Mexico Land of Enchantment Award (1997)', 'Eliot Rosewater Indiana High School Book Award (1997)', ""William Allen White Children's Book Award (1996)"", 'Wyoming Indian Paintbrush Nominee (1996)', ""NSK Neustadt Prize for Children's Literature Nominee (2013)"", 'Oklahoma Sequoyah Award for YA (1996)', ""Rebecca Caudill Young Readers' Book Award (1996)"", 'Hea Lasteraamat (2010)', 'Premi Protagonista Jove for Categoria 13-14 anys (2016)', 'Margaret A. Edwards Award (2007)\n...less']",
3,https://www.goodreads.com/book/show/13335037-divergent,Divergent,Veronica Roth,4.18,109737,3070015,487,2011,Divergent #1,"['Young Adult', 'Science Fiction', '14,224 users']","['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)\n...more\nMilwaukee County Teen Book Award Nominee (2012)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'Sakura Medal', 'New Mexico Land of Enchantment Award for Young Adult (2014)', 'Eliot Rosewater Indiana High School Book Award (2014)', 'California Young Readers Medal for Young Adult (2014)', 'Lincoln Award Nominee (2014)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2012)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011)', 'Green Mountain Book Award (2013)', 'The Magnolia Award for 6-8 (2014)', ""Louisiana Teen Readers' Choice (2014)"", 'Missouri Gateway Readers Award (2014)', 'Oklahoma Sequoyah Award for High Schol (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)\n...less']","Chicago, Illinois  (United States)"
4,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,3.99,32973,1509593,268,1932,,"['Classics', 'Fiction', 'Science Fiction']",,"New Mexico  (United States)   London, England, 2540  (United Kingdom)"
5,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,3.99,51212,1785525,194,1953,,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",
6,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,The Handmaid's Tale,Margaret Atwood,4.12,74569,1558412,314,1985,The Handmaid's Tale  #1,"['Fiction', 'Classics', 'Science Fiction']","['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)\n...more\nLos Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)\n...less']","Republic of Gilead, 2005       United States of America"
7,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm,George Orwell,3.96,61014,2909960,141,1945,,"['Classics', 'Fiction', 'Science Fiction']","['Prometheus Hall of Fame Award (2011)', 'Retro Hugo Award for Best Novella (1996)']",England  United Kingdom
8,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,3.69,39832,2362185,182,1954,,"['Classics', 'Fiction', 'Young Adult']",,
9,https://www.goodreads.com/book/show/375802.Ender_s_Game,Ender's Game,Orson Scott Card,4.3,44095,1178306,324,1985,Ender's Saga #1,"['Science Fiction', 'Fiction', 'Young Adult']","['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Premi Ictineu for Millor novel·la traduïda (2014)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']",
10,https://www.goodreads.com/book/show/6288.The_Road,The Road,Cormac McCarthy,3.97,47100,746716,241,2006,,"['Fiction', 'Science Fiction', 'Science Fiction']","['Pulitzer Prize for Fiction (2007)', 'Locus Award Nominee for Best SF Novel (2007)', 'James Tait Black Memorial Prize for Fiction (2006)', 'The Quill Award for General Fiction (2007)', 'Puddly Award for Fiction (2010)\n...more\nNational Book Critics Circle Award Nominee for Fiction (2006)', 'Believer Book Award (2006)', 'Tähtivaeltaja Award (2009)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2008)', 'Prix des libraires du Québec for Lauréats hors Québec (2009)', 'International Dublin Literary Award Nominee (2008)', 'The Rooster -- The Morning News Tournament of Books (2007)\n...less']",United States of America
11,https://www.goodreads.com/book/show/6186357-the-maze-runner,The Maze Runner,James Dashner,4.03,56914,1136901,384,2009,The Maze Runner #1,"['Young Adult', 'Science Fiction', '7,113 users']","['Georgia Peach Book Award (2011)', 'Utah Book Award Nominee for Young Adults (2009)', ""Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel  (2009)"", 'Charlotte Award (2012)', ""Pennsylvania Young Readers' Choice Award Nominee (2011)\n...more\nEvergreen Teen Book Award (2012)"", 'Milwaukee County Teen Book Award Nominee (2011)', 'Lincoln Award (2012)', 'Missouri Truman Readers Award (2012)\n...less']",
12,https://www.goodreads.com/book/show/149267.The_Stand,The Stand,Stephen King,4.34,22448,646660,1152,1978,,"['Horror', 'Fiction', 'Fantasy']","['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']","United States of America  New York City, New York, 1990  (United States)   Boulder, Colorado, 1990  (United States)   …more Las Vegas, Nevada, 1990  (United States)   Arnett, Texas, 1990  (United States)   Pennsylvania, 1990  (United States)   Arkansas, 1990  (United States)   Arizona, 1990  (United States)   Nevada  (United States)   Idaho, 1990  (United States)   Boulder, Colorado, 1980  (United States)   Ogunquit, Maine  (United States)   …less"
13,https://www.goodreads.com/book/show/24770.Uglies,Uglies,Scott Westerfeld,3.85,23952,581893,425,2005,Uglies  #1,"['Young Adult', 'Science Fiction', '4,629 users']","['Georgia Peach Book Award Nominee for Honor book (2008)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2006)', 'Ditmar Award Nominee for Best Novel (2006)', 'South Carolina Book Award Nominee for Young Adult Book Award (2008)', 'Rhode Island Teen Book Award Nominee (2007)\n...more\nEliot Rosewater Indiana High School Book Award (2007)', 'Lincoln Award (2007)', 'Prix Et-lisez-moi (2009)', 'Missouri Gateway Readers Award Nominee (2008)\n...less']",
14,https://www.goodreads.com/book/show/11614718-delirium,Delirium,Lauren Oliver,3.96,26713,430995,441,2011,Delirium #1,"['Young Adult', 'Science Fiction', '5,466 users']","['Buxtehuder Bulle (2011)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"", 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011)', 'Missouri Gateway Readers Award Nominee (2014)']","Portland, Maine  (United States)"
15,https://www.goodreads.com/book/show/7735333-matched,Matched,Ally Condie,3.65,33511,681072,369,2010,Matched #1,"['Young Adult', 'Science Fiction', '6,189 users']","['South Carolina Book Award for Young Adult (2013)', 'Teen Buckeye Book Award (2012)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2012)"", 'Rhode Island Teen Book Award (2012)', 'California Young Readers Medal for Young Adult (2013)\n...more\nLincoln Award Nominee (2013)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2011)', 'Carnegie Medal Nominee (2012)', 'Missouri Gateway Readers Award Nominee (2013)\n...less']",
16,https://www.goodreads.com/book/show/5805.V_for_Vendetta,V for Vendetta,Alan Moore,4.25,5785,275253,296,1990,V for Vendetta #1-10,"['Sequential Art', '5,964 users', 'Comics']","['Prometheus Hall of Fame Award (2006)', 'Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)']",United Kingdom
17,https://www.goodreads.com/book/show/764347.Unwind,Unwind,Neal Shusterman,4.16,19136,202191,337,2007,Unwind Dystology #1,"['Young Adult', 'Science Fiction', '3,152 users']","['Rhode Island Teen Book Award Nominee (2010)', 'Evergreen Teen Book Award (2010)', 'Sakura Medal for Middle School Book (2009)', 'Florida Teens Read Nominee (2009)', 'Eliot Rosewater Indiana High School Book Award (2010)\n...more\nCalifornia Young Readers Medal Nominee for Young Adult (2011)', 'Gouden Lijst Nominee (2013)', 'Green Mountain Book Award (2010)', 'Missouri Gateway Readers Award Nominee (2010)', 'Oklahoma Sequoyah Award for Intermediate (2010)\n...less']","Akron, Ohio  (United States)   Ohio  (United States)   Scottsburg, Indiana  (United States)   …more Arizona  (United States)   Joplin, Missouri  (United States)   …less"
18,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Never Let Me Go,Kazuo Ishiguro,3.83,33728,506961,288,2005,,"['Fiction', 'Science Fiction', 'Science Fiction']","['Booker Prize Nominee (2005)', 'Locus Award Nominee for Best SF Novel (2006)', 'Arthur C. Clarke Award Nominee (2006)', 'James Tait Black Memorial Prize Nominee for Fiction (2005)', 'ALA Alex Award (2006)\n...more\nNational Book Critics Circle Award Nominee for Fiction (2005)', 'Corine Internationaler Buchpreis for Belletristik (2006)', 'International Dublin Literary Award Nominee (2007)\n...less']","Hailsham  (United Kingdom)   Norfolk, England  The Cottages  (United Kingdom)   …more Kingsfield  (United Kingdom)   …less"
19,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,Oryx and Crake,Margaret Atwood,4.01,13959,231378,389,2003,MaddAddam #1,"['Fiction', 'Science Fiction', 'Science Fiction']","['Booker Prize Nominee (2003)', 'Orange Prize Nominee for Fiction Shortlist (2004)', 'Sunburst Award Nominee for Canadian Novel (2004)', 'Scotiabank Giller Prize Nominee (2003)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)""]",
20,https://www.goodreads.com/book/show/9969571-ready-player-one,Ready Player One,Ernest Cline,4.25,90552,927764,374,2011,Ready Player One #1,"['Science Fiction', 'Fiction', 'Young Adult']","['Locus Award Nominee for Best First Novel (2012)', 'John W. Campbell Memorial Award Nominee (2012)', 'Prometheus Award for Best Novel (2012)', 'ALA Alex Award (2012)', 'Lincoln Award Nominee (2014)\n...more\nTähtivaeltaja Award Nominee (2013)', 'Mary Shelley Award for Outstanding Fictional Work (2016)', 'Premi Ictineu for Millor novel·la traduïda (2017)', 'Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011)', 'Green Mountain Book Award Nominee (2015)', 'Seiun Award 星雲賞 Nominee for Best Translated Novel (2015)\n...less']","Columbus, Ohio, 2045  (United States)   Oklahoma City, Oklahoma, 2045  (United States)"
21,https://www.goodreads.com/book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,26252,459391,342,2006,World War Z,"['Horror', 'Fiction', 'Horror']","['Audie Award for Multi-Voiced Performance (2014)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009)', 'Lincoln Award Nominee (2012)', 'Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)']",
22,https://www.goodreads.com/book/show/9275658-legend,Legend,Marie Lu,4.16,29892,435247,305,2011,Legend #1,"['Young Adult', 'Science Fiction', '6,079 users']","['Rhode Island Teen Book Award Nominee (2013)', 'Milwaukee County Teen Book Award Nominee (2013)', 'The Inky Awards Nominee for Silver Inky (2012)', 'California Young Readers Medal Nominee for Young Adult (2015)', 'Lincoln Award Nominee (2014)\n...more\nMissouri Truman Readers Award (2014)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012)', ""Rebecca Caudill Young Readers' Book Award (2015)\n...less""]","Los Angeles, The Republic of America, 2130"
23,https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.08,14018,368638,244,1968,Blade Runner #1,"['Science Fiction', 'Fiction', 'Classics']",['Nebula Award Nominee for Best Novel (1968)'],"San Francisco, California  (United States)   California  (United States)   United States of America"
24,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,4.37,14673,499394,416,1987,Watchmen #1-12,"['Sequential Art', '9,875 users', 'Comics']","['Hugo Award for Other Forms (1988)', 'Locus Award for Best Non-Fiction/Art (1988)', 'Harvey Awards for Best Writer (for Alan Moore)', 'Best Artist or Penciller (for Dave Gibbons)', 'Best Continuing or Limited Series', 'Best Single Issue (""Watchmen #9"")', 'Best Graphic Album', 'Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988)', ""Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989)"", 'Urhunden Prize for Foreign Album (1992)\n...more\nWill Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards', 'for Absolute edition)', 'Best Finite Series', 'Best Graphic Album', 'Best Writer (for Alan Moore)', 'Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988)', 'IGN Award for Best Collection (2005)\n...less']","New York City, New York, 1985  (United States)"
25,https://www.goodreads.com/book/show/307791.The_City_of_Ember,The City of Ember,Jeanne DuPrau,3.86,11441,255657,288,2003,Book of Ember  #1,"['Young Adult', 'Science Fiction', '1,837 users']","['California Book Award for Young Adult (Silver) (2003)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006)', 'Rhode Island Teen Book Award Nominee (2005)', ""Dorothy Canfield Fisher Children's Book Award Nominee (2005)"", 'Child Magazine Best Book of the Year\n...more\nSunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004)', ""Charlie May Simon Children's Book Award Nominee (2006)"", 'New Mexico Land of Enchantment Award for Young Adult (2007)', ""Judy Lopez Memorial Award for Children's Literature Nominee (2004)"", 'Chapman Award for Shared Reading Nominee for Fiction (2004)', ""William Allen White Children's Book Award (2006)"", 'Washington State Sasquatch Award (2006)', 'Bluestem Book Award Nominee (2019)', ""Rebecca Caudill Young Readers' Book Award Nominee (2006)\n...less""]",
26,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,28439,1173387,275,1969,,"['Classics', 'Fiction', 'Science Fiction']","['Hugo Award Nominee for Best SF Novel (1970)', 'Nebula Award Nominee for Best Novel (1969)', 'National Book Award Finalist for Fiction (1970)', ""Chicago Publishers' Award (1970)""]","Dresden, 1945  (Germany)   Tralfamadore  Ilium  (United States)   …more Ardennes, 1944  (Belgium)   …less"
27,https://www.goodreads.com/book/show/13453029-wool-omnibus,Wool Omnibus,Hugh Howey,4.2,13764,167250,509,2012,Silo #1,"['Science Fiction', 'Fiction', 'Science Fiction']","['Tähtivaeltaja Award Nominee (2014)', 'Prix des libraires du Québec (2015)', ""Bookworm Best Award for People's Pick (2013)"", 'Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)']",
28,https://www.goodreads.com/book/show/2493.The_Time_Machine,The Time Machine,H.G. Wells,3.89,11687,432461,118,1895,,"['Classics', 'Science Fiction', 'Fiction']",,"United Kingdom  London, England, 802701  (United Kingdom)   England"
29,https://www.goodreads.com/book/show/36381037-cinder,Cinder,Marissa Meyer,4.13,56877,730212,400,2012,The Lunar Chronicles #1,"['Young Adult', 'Fantasy', 'Science Fiction']","['Golden Duck Award for Young Adult (Hal Clement Award) (2013)', 'Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014)"", ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014)"", 'Rhode Island Teen Book Award Nominee (2014)\n...more\nCalifornia Young Readers Medal for Young Adult (2016)', 'Lincoln Award Nominee (2014)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)', ""Rebecca Caudill Young Readers' Book Award Nominee (2016)\n...less""]","New Beijing, Eastern Commonwealth"
30,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories,I Am Legend and Other Stories,Richard Matheson,4.0,5045,121621,317,1954,,"['Horror', 'Fiction', 'Science Fiction']",,"Los Angeles, California, 1976  (United States)"
31,https://www.goodreads.com/book/show/57891.Battle_Royale,Battle Royale,Koushun Takami,4.16,5211,66879,617,1999,,"['Fiction', 'Science Fiction', '1,033 users']",,Japan
32,https://www.goodreads.com/book/show/10507293-the-selection,The Selection,Kiera Cass,4.12,53192,991407,336,2012,The Selection #1,"['Young Adult', 'Romance', 'Science Fiction']","['Lincoln Award Nominee (2015)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)']",
33,https://www.goodreads.com/book/show/667.Anthem,Anthem,Ayn Rand,3.63,9501,135421,105,1938,,"['Fiction', 'Classics', 'Science Fiction']","['Prometheus Hall of Fame Award (1987)', 'Retro Hugo Award Nominee for Best Novella (2014)']",
34,https://www.goodreads.com/book/show/43615.The_Gunslinger,The Gunslinger,Stephen King,3.94,19712,533822,231,1982,The Dark Tower #1,"['Fantasy', 'Fiction', 'Horror']",,
35,https://www.goodreads.com/book/show/76171.We,We,Yevgeny Zamyatin,3.91,4976,76692,226,1920,,"['Fiction', 'Science Fiction', 'Science Fiction']",,OneState
36,https://www.goodreads.com/book/show/6690798-the-passage,The Passage,Justin Cronin,4.03,19640,197397,766,2010,The Passage #1,"['Horror', 'Fiction', 'Science Fiction']","['Locus Award Nominee for Best SF Novel (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)']","Telluride, Colorado  (United States)   Las Vegas, Nevada  (United States)   Roswell, New Mexico  (United States)   …more Colorado  (United States)   …less"
37,https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It,Life As We Knew It,Susan Beth Pfeffer,3.87,9882,120596,337,2006,Last Survivors #1,"['Young Adult', 'Science Fiction', '1,123 users']","['Buxtehuder Bulle (2010)', 'South Carolina Book Award Nominee for Young Adult Book (2009)', 'Rhode Island Teen Book Award Nominee (2008)', 'Evergreen Teen Book Award (2009)', 'The Inky Awards Nominee for Silver Inky (2008)\n...more\nCalifornia Young Readers Medal Nominee for Young Adult (2009)', 'Andre Norton Award Nominee (2006)', 'Missouri Truman Readers Award (2009)', 'Missouri Gateway Readers Award Nominee (2009)', ""Rebecca Caudill Young Readers' Book Award Nominee (2009)\n...less""]","Pennsylvania  (United States)   Howell, Pennsylvania  (United States)"
38,https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go,The Knife of Never Letting Go,Patrick Ness,3.97,17902,167153,512,2008,Chaos Walking #1,"['Young Adult', 'Science Fiction', '2,326 users']","[""Guardian Children's Fiction Prize (2008)"", 'Manchester Book Award  Nominee for Longlist (2009)', 'Odyssey Award Nominee (2011)', 'James Tiptree Jr. Award (2008)', 'Milwaukee County Teen Book Award Nominee (2010)\n...more\nDioraphte Jongerenliteratuurprijs Nominee (2014)', 'Carnegie Medal Nominee (2009)', 'Green Mountain Book Award (2012)\n...less']",New World
39,https://www.goodreads.com/book/show/10429045-shatter-me,Shatter Me,Tahereh Mafi,3.93,30693,317334,338,2011,Shatter Me #1,"['Young Adult', 'Science Fiction', '4,301 users']","[""Arab American Book Award Nominee for Children's/Young Adult (2013)""]",
40,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange,Anthony Burgess,3.99,14635,624079,213,1962,,"['Classics', 'Fiction', 'Science Fiction']",['Prometheus Hall of Fame Award (2008)'],England
41,https://www.goodreads.com/book/show/1656001.The_Host,The Host,Stephenie Meyer,3.84,41838,924245,619,2008,The Host #1,"['Young Adult', 'Science Fiction', 'Fantasy']",,Arizona  (United States)
42,https://www.goodreads.com/book/show/2526.Blindness,Blindness,José Saramago,4.14,17540,216282,326,1995,Blindness #1,"['Fiction', 'Science Fiction', '922 users']","['Premio San Clemente for Novela Estranxeira (1999)', 'International Dublin Literary Award Nominee (1999)']",
43,https://www.goodreads.com/book/show/2536134.Gone,Gone,Michael  Grant,3.86,10986,185272,560,2008,Gone #1,"['Young Adult', 'Science Fiction', '1,558 users']",['Missouri Truman Readers Award Nominee (2011)'],"Perdido Beach, California  (United States)"
44,https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Cat's Cradle,Kurt Vonnegut Jr.,4.16,11343,348426,179,1963,,"['Fiction', 'Classics', 'Science Fiction']",['Hugo Award Nominee for Best Novel (1964)'],San Lorenzo  Ilium  (United States)
45,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,A Canticle for Leibowitz,Walter M. Miller Jr.,3.97,4975,97666,334,1959,St. Leibowitz #1,"['Science Fiction', 'Fiction', 'Apocalyptic']","['Hugo Award for Best Novel (1961)', 'Locus Award for All-Time Best Novel (1975)']",
46,https://www.goodreads.com/book/show/16101128-the-5th-wave,The 5th Wave,Rick Yancey,4.03,30154,407215,457,2013,The 5th Wave #1,"['Young Adult', 'Science Fiction', 'Science Fiction']","['Georgia Peach Book Award Nominee for Honor book (2014)', 'South Carolina Book Award for Young Adult (2016)', 'Keystone to Reading Book Award Nominee for High School (2015)', 'Evergreen Teen Book Award (2016)', 'Milwaukee County Teen Book Award Nominee (2014)\n...more\nThe Inky Awards Nominee for Silver Inky (2013)', 'Lincoln Award Nominee (2015)', 'Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013)', 'Carnegie Medal Nominee (2014)', 'Green Mountain Book Award Nominee (2015)', ""Louisiana Teen Readers' Choice (2016)"", 'Missouri Gateway Readers Award (2016)', 'Oklahoma Sequoyah Award for High School (2016)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)\n...less']",Ohio  (United States)
47,https://www.goodreads.com/book/show/41913.The_Children_of_Men,The Children of Men,P.D. James,3.69,3155,41446,241,1992,,"['Fiction', 'Science Fiction', 'Science Fiction']",,England
48,https://www.goodreads.com/book/show/6088007-neuromancer,Neuromancer,William Gibson,3.9,10131,272592,292,1984,Sprawl #1,"['Science Fiction', 'Fiction', 'Science Fiction']","['Hugo Award for Best Novel (1985)', 'Nebula Award for Best Novel (1984)', 'Locus Award Nominee for Best First Novel and Best SF Novel (1985)', 'British Science Fiction Association Award Nominee for Best Novel (1984)', 'Philip K. Dick Award (1985)\n...more\nJohn W. Campbell Memorial Award Nominee (1985)', 'Ditmar Award for Best International Long Fiction (1985)', 'SF Chronicle Award for Novel (1985)', 'Tähtivaeltaja Award (1992)', 'Prix Aurora Award Nominee (1985)', 'Seiun Award 星雲賞 for Best Translated Long Story (1987)\n...less']","Chiba, Tokyo  (Japan)"
49,https://www.goodreads.com/book/show/830.Snow_Crash,Snow Crash,Neal Stephenson,4.02,9530,243636,438,1992,,"['Science Fiction', 'Fiction', 'Science Fiction']","['Arthur C. Clarke Award Nominee (1994)', 'British Science Fiction Association Award Nominee (1993)', ""Grand Prix de l'Imaginaire for Roman étranger (1997)"", 'Prometheus Award Nominee for Best Novel (1993)', 'Washington State Book Award (1993)\n...more\nSeiun Award 星雲賞 Nominee for Best Foreign Novel (1999)\n...less']",United States of America
50,https://www.goodreads.com/book/show/8525590-wither,Wither,Lauren DeStefano,3.79,8123,99283,358,2011,The Chemical Garden #1,"['Young Adult', 'Science Fiction', '1,594 users']","['Rhode Island Teen Book Award Nominee (2013)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)']",Florida  (United States)
51,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,3.69,17831,361773,1078,1957,,"['Fiction', 'Classics', 'Philosophy']","['Prometheus Hall of Fame Award (1983)', 'National Book Award Finalist for Fiction (1958)']",
52,https://www.goodreads.com/book/show/9014.The_Long_Walk,The Long Walk,Richard Bachman,4.08,7746,135572,370,1979,,"['Horror', 'Fiction', 'Science Fiction']",,Maine  (United States)
